アイヌ系,あいぬけい
馬鹿でもチョンでも,ばかでもちょんでも
白痴,はくち
パクる,ぱくる
馬喰,ばくろう
端女,はしため
肌色,はだいろ
バタ屋,ばたや
発狂する,はっきょうする
馬丁,ばてい
パン助,ぱんすけ
番太,ばんた
半島人,はんとうじん
飯場,はんば
引かれ者,ひかれもの
跛,びっこ
非人,ひにん
ヒモ,ひも
百姓,ひゃくしょう
日雇い,ひやとい
貧農,ひんのう
醜男,ぶおとこ
不可触民,ふかしょくみん
不具,ふぐ
父兄,ふけい
不治の病,ふじのやまい
ブス,ぶす
ブタ箱,ぶたばこ
ブツ,ぶつ
踏切番,ふみきりばん
ブラインドタッチ,ぶらいんどたっち
部落,ぶらく
浮浪児,ふろうじ
浮浪者,ふろうしゃ
ペイ患,ぺいかん
ペイ中,ぺいちゅう
坊主,ぼうず
北鮮,ほくせん
ポコペン,ぽこぺん
保線工夫,ほせんこうふ
ポッポー屋,ぽっぽーや
保母,ほぼ
ポリ公,ぽりこう
本腰を入れる,ほんごしをいれる
ぽん引き,ぽんびき
ほんぼし,ほんぼし
まえつき,まえつき
魔女っ子,まじょっこ
股に掛ける,またにかける
町医者,まちいしゃ
マンコ,まんこ
満州,まんしゅう
未開人,みかいじん
未開発国,みかいはつこく
三つ口,みつくち
身分,みぶん
未亡人,みぼうじん
身元調査,みもとちょうさ
婿をとる,むこをとる
娘を片付ける,むすめをかたづける
名門校,めいもんこう
妾,めかけ
盲,めくら
盲縞,めくらじま
盲判を押す,めくらばんをおす
盲蛇に怖じず,めくらへびにおじず
盲滅法,めくらめっぽう
めっかち,めっかち
盲愛する,もうあいする
蒙古症,もうこしょう
盲人,もうじん
盲目,もうもく
文盲,もんもう
ヤー様,やーさま
八百屋,やおや
役不足,やくぶそく
やさぐれ,やさぐれ
ヤバい,やばい
藪医者,やぶいしゃ
藪睨み,やぶにらみ
ヤンキー,やんきー
ヤンキー,やんきい
郵便夫,ゆうびんふ
郵便屋,ゆうびんや
養護,ようご
養老院,ようろういん
寄せ場,よせば
ヨツ,よつ
四つ足,よつあし
四つ辻,よつつじ
嫁にやる,よめにやる
寄目,よりめ
癩病,らいびょう
ルンペン,るんぺん
令嬢,れいじょう
レントゲン技師,れんとげんぎし
老婆,ろうば
労務者,ろうむしゃ
露助,ろすけ
ロンパリ,ろんぱり
死ね,しね
アナル,あなる
アヘン,あへん
インポ,いんぽ
陰毛,いんも
インラン,いんらん
ウンコ,うんこ
ウンチ,うんち
エロ,えろ
エッチ,えっち
オシッコ,おしっこ
オシリ,おしり
オッパイ,おっぱい
オメコ,おめこ
顔射,がんしゃ
キクモン,きくもん
キャバ嬢,きゃばじょう
巨乳,きょにゅう
クンニ,くんに
支那,しな
処女,しょじょ
射精,しゃせい
スケベ,すけべ
スマタ,すまた
スカトロ,すかとろ
セクハラ,せくはら
絶倫,ぜつりん
前立腺,ぜんりつせん
チンコ,ちんこ
チンタ,ちんた
ツンボ,つんぼ
テインタ,ていんた
テマン,てまん
童貞,どうてい
ドウテイ,どうてい
トップレス,とっぷれす
